Participant_number,Text_number,Total_words,Total_lines,Full_lines,Reading_start,Reading_end
P7,1,39,5,4,25.0464,43.7055
P7,2,65,7,7,80.274,109.4456
P7,3,36,5,4,122.4402,142.6324
P7,4,45,5,4,178.3513,198.3929
P7,5,50,6,5,248.7224,266.9653
P7,6,54,6,5,279.9098,302.3344
P8,1,39,5,4,30.4881,59.4760
P8,2,65,7,7,96.7609,154.1547
P8,3,36,5,4,171.4143,195.5712
P8,4,45,5,4,224.5095,266.9257
P8,5,50,6,5,294.6146,332.5993
P8,6,54,6,5,351.3251,392.5917
P8,7,46,6,5,421.0968,458.2152
P9,1,39,5,4,67.5795,141.6997
P9,2,65,7,7,NA,NA
P9,3,36,5,4,347.2665,NA
P9,4,45,5,4,465.3521,NA
P9,5,50,6,5,583.5543,672.2352
P9,6,54,6,5,713.6851,784.4897
P9,7,46,6,5,NA,NA
P12,1,39,5,4,77.0527,98.2606
P12,2,65,7,7,128.1822,174.5470
P12,3,36,5,4,201.6862,221.7613
P12,4,45,5,4,252.3992,277.0057
P12,5,50,6,5,304.1451,337.1486
P12,6,54,6,5,360.9888,389.8271
P12,7,46,6,5,421.5146,450.2530
P13,1,39,5,4,77.7822,128.2120
P13,2,65,7,7,160.1662,NA
P13,3,36,5,4,272.2374,320.9013
P13,4,45,5,4,356.2538,407.9000
P13,5,50,6,5,432.1233,NA
P13,6,54,6,5,NA,NA
P13,7,46,6,5,603.4380,670.9943
P14,1,39,5,4,46.6813,57.6935
P14,3,36,5,4,158.4696,169.282
P14,4,45,5,4,209.7324,226.6255
P14,5,50,6,5,260.9452,279.0045
P14,6,54,6,5,311.9745,327.5014
P14,7,46,6,5,372.6997,387.5606
P15,1,39,5,4,61.9417,110.1889
P15,2,65,7,7,134.6623,NA
P15,3,36,5,4,244.5682,296.6807
P15,4,45,5,4,321.8703,376.7982
P15,5,50,6,5,401.5549,460.6480
P15,6,54,6,5,483.3219,NA
P15,7,46,6,5,553.6435,608.7044
P16,1,39,5,4,66.9898,88.5643
P16,2,65,7,7,113.9710,159.4525
P16,3,36,5,4,185.1587,210.0988
P16,4,45,5,4,235.5715,265.7430
P16,5,50,6,5,289.1836,328.2345
P16,6,54,6,5,351.0088,387.2106
P16,7,46,6,5,412.0174,439.8227
P17,1,39,5,4,29.6632,40.7838
P17,2,65,7,7,81.134,99.7264
P17,3,36,5,4,141.6578,150.4892
P17,4,45,5,4,198.7697,210.4653
P17,5,50,6,5,249.5659,260.3616
P17,6,54,6,5,300.7618,310.6911
P17,7,46,6,5,361.8705,372.6495
P18,1,39,5,4,25.3565,45.3651
P18,2,65,7,7,70.4717,105.4073
P18,3,36,5,4,115.6033,139.8437
P18,4,45,5,4,179.7443,209.149
P18,5,50,6,5,236.688,265.3764
P18,6,54,6,5,282.786,308.2259
P19,1,39,5,4,49.0852,64.729
P19,2,65,7,7,101.5142,130.7024
P19,3,36,5,4,169.3867,184.3642
P19,4,45,5,4,221.0993,243.4403
P19,5,50,6,5,272.5953,291.2379
P19,6,54,6,5,323.5747,344.4829
P19,7,46,6,5,NA,NA
P20,2,65,7,7,165.65,262.1945
P20,3,36,5,4,266.8924,332.2494
P20,4,45,5,4,377.4145,450.7182
P20,5,50,6,5,496,563.9896
P20,6,54,6,5,599.1586,686.0236
P20,7,46,6,5,727.1071,799.428
P21a,1,39,5,4,34.7196,69.3554
P21a,6,54,6,5,114.7038,NA
P21a,7,46,6,5,NA,NA
P21b,3,36,5,4,10.9795,41.8338
P21b,5,50,6,5,69.9725,109.0566
P22,7,46,6,5,148.3233,172.6804
P24,1,39,5,4,NA,NA
P24,2,65,7,7,NA,NA
P24,3,36,5,4,9.9486,61.0654
P24,4,45,5,4,74.1561,118.355
P24,5,50,6,5,135.8644,199.1225
P24,6,54,6,5,223.7291,287.1368
P24,7,46,6,5,306.4791,363.3395
P25,1,39,5,4,23.2405,43.0828
P25,2,65,7,7,63.8912,99.5101
P25,3,36,5,4,118.0693,142.7597
P25,4,45,5,4,163.9508,187.7746
P25,5,50,6,5,215.7466,238.9042
P25,6,54,6,5,256.4471,279.6044
P25,7,46,6,5,317.9389,341.5461
P26,1,39,5,4,43.8304,76.1174
P26,2,65,7,7,101.6238,160.6167
P26,3,36,5,4,186.6061,216.7607
P26,4,45,5,4,241.2175,284.1003
P26,5,50,6,5,307.1743,352.7559
P26,6,54,6,5,380.8777,423.8772
P26,7,46,6,5,461.6619,505.8109
P28,1,39,5,4,89.4638,125.2495
P28,2,65,7,7,NA,NA
P28,3,36,5,4,256.1316,298.5964
P28,4,45,5,4,327.2348,390.6756
P28,5,50,6,5,417.1482,475.8914
P28,6,54,6,5,512.7102,573.4184
P28,7,46,6,5,611.2698,663.1823
P29a,3,36,5,4,130.1635,218.3113
P29a,4,45,5,4,NA,NA
P29a,5,50,6,5,NA,NA
P29b,4,45,5,4,172.8639,247.9335
P29b,6,54,6,5,NA,NA
P29b,7,46,6,5,NA,NA
P30a,3,36,5,4,32.8919,60.1259
P30a,4,45,5,4,99.7767,137.9446
P30a,5,50,6,5,170.5145,199.0697
P34,1,39,5,4,NA,NA
P34,2,65,7,7,NA,NA
P34,3,36,5,4,36.0691,52.6786
P34,4,45,5,4,147.5902,174.6292
P34,5,50,6,5,NA,NA
P34,6,54,6,5,205.9164,233.6888
P34,7,46,6,5,NA,NA
